Text,User ID,User Name,Nick Name New,IP Address
楼下细🔒,6475777100,,这并不好笑,安徽
快来水快来水,6475777100,,这并不好笑,安徽
先说一下🐭🐭这个舍友吧。简称他为Y哥，Y哥曾是体育生，后来受伤转了文化生，会弹吉他，唱歌好听，有一次搞音乐节吸引了很多妹妹，加上靠体育生的素质运动会拿了银牌，也是吸引了更多的妹妹,6475777100,,这并不好笑,安徽
然后他对于妹妹的追求是来者不拒，他说要在这么多追求他的妹妹里寻找一个最合适的,6475777100,,这并不好笑,安徽
你怎么搞的呀 真没出息呀.jpg,17596415877621,光明之子910,云鹤1491,河南
之后也在不断有妹妹加他,6475777100,,这并不好笑,安徽
没人？单机贴吧？,6475777100,,这并不好笑,安徽
守旧派，打嗝觉🧵,6475777100,,这并不好笑,安徽
然后Y哥在文体部工作捏，文体部副部长也是看上了Y哥，副部长可是有男朋友的xxn一枚捏，Y哥也是知道她有，但是两个人就在一起搞暧昧,6475777100,,这并不好笑,安徽
通知他快回哥谭,2335856750,宅男陌生人,蝙蝠侠-布鲁斯.韦恩,四川
"怎么，不跟你回山里了？
“这腿脚都不利索了。”",17596415877621,光明之子910,云鹤1491,河南
后面🐭🐭跟其他舍友也是看不下去了，教训他别干这种事，加上部长（简称J）自己搞事，Y哥也就不喜欢她了捏，然后看上了另一个化材的学姐捏，并且发誓好一辈子,6475777100,,这并不好笑,安徽
学姐简称W,6475777100,,这并不好笑,安徽
Y哥认为自己是情场高手捏，可是在谈过三次恋爱的🐭🐭看来，他还是很幼稚,6475777100,,这并不好笑,安徽
Y哥跟学姐也是暧昧一段时间，一起逛街，一起吃饭，都不在宿舍常待了，他说他就喜欢学姐，喜欢被姐姐照顾，像妈妈一样,6475777100,,这并不好笑,安徽
对此🐭🐭跟其他舍友猜想他是不是缺爱,6475777100,,这并不好笑,安徽
下面发两个他分享给🐭🐭的照片，是不同的妹妹找他的,6475777100,,这并不好笑,安徽
快马加鞭,6394643872,山高狐狸不野,山高狐狸不野,广东
这里也是跟J彻底结束,6475777100,,这并不好笑,安徽
接下来就是重头戏，Y哥现任要登场了，牛头人开始转变小丑了,6475777100,,这并不好笑,安徽
gkd,5893240869,,贴吧用户_GZXR9QG,河北
刚才大觉不尽兴，再🦌🦌,6475777100,,这并不好笑,安徽
快更，打什么🦶,6008966434,,好好好活着,广西
这是他给🐭🐭截的图，他写了一封遗书恶搞妹妹，这个妹妹是J，没错，不知道为什么，他跟J又搞起来了,6475777100,,这并不好笑,安徽
🐭🐭也搞不明白了，他才发誓跟化材学姐好，转头又跟已经闹掰的部长好上了,6475777100,,这并不好笑,安徽
这里他也是玩上了,6475777100,,这并不好笑,安徽
不给你们展示他和妹妹的照片，你们拿去做坏事,6475777100,,这并不好笑,安徽
快马加鞭，大半夜就指望着这个乐呵呢,893643149,好一个丁自酷,好一个丁自酷,上海
